#,Fiscal Year,SEMESTER,PLANNER BUCKET,TASK,ASSIGNMENT TITLE,AUDIENCE,START,END,PROGRESS
1,2026,,Theme Meal,Potato Bowl -- Housing Program,Marketing/ARH,,1900-12-30,1900-12-30,NOT STARTED
2,2026,,Theme Meal,Homecoming Celebration -- Housing Program,Marketing/ARH,,1900-12-30,1900-12-30,NOT STARTED
3,2026,,Theme Meal,Chili Challenge,Dining,,1900-12-30,1900-12-30,NOT STARTED
4,2026,,Theme Meal,Halloween Spook-tacular Hocus Pocus Themed -- Housing Program,Marketing/ARH,,1900-12-30,1900-12-30,NOT STARTED
5,2026,,Theme Meal,Alaska Seafood Sustainable Dinner ,Dining,,1900-12-30,1900-12-30,NOT STARTED
6,2026,,Theme Meal,Winter Wonderland -- Housing Program,Marketing/ARH,,1900-12-30,1900-12-30,NOT STARTED
7,2026,,Theme Meal,Wing Challenge (Wilkerson Commons),Dining,,1900-12-30,1900-12-30,NOT STARTED
8,2026,,Theme Meal,Mardi Gras Dinner -- Housing Program,Marketing/ARH,,1900-12-30,1900-12-30,NOT STARTED
9,2026,,Theme Meal,Student Chopped Competition,Dining,,1900-12-30,1900-12-30,NOT STARTED
10,2026,,Theme Meal,Time-Out Week Menu,Dining,,1900-12-30,1900-12-30,NOT STARTED
11,2026,,Theme Meal,Celebrate Earth Day ,Dining,,1900-12-30,1900-12-30,NOT STARTED
12,2026,,Theme Meal,Star Wars Theme Dinner,Dining,,1900-12-30,1900-12-30,NOT STARTED
13,2026,,Camps and Conferences,Summer Camp/Conference Staff Selection Begins,Associate Director of Residence Life,,1900-12-30,1900-12-30,NOT STARTED
14,2026,,Theme Meal,Black History Month,Dining,,1900-12-30,1900-12-30,NOT STARTED
15,2026,,Theme Meal,Latin American ,Dining,,1900-12-30,1900-12-30,NOT STARTED
16,2026,,Theme Meal,Vendor Showcase,Dining/Catering,,1900-12-30,1900-12-30,NOT STARTED
17,2026,,Camps and Conferences,Summer Conference Registration Opens,Operations Manager,,1900-12-30,1900-12-30,NOT STARTED
18,2026,,Camps and Conferences,Summer Conference Sponsor Meetings Begin,Operations Manager,,1900-12-30,1900-12-30,NOT STARTED
19,2026,,Camps and Conferences,Summer Guest Housing Opens (Swanson),Operations Manager,,1900-12-30,1900-12-30,NOT STARTED
20,2026,,Billing and Financial,Fall Bill Export,,,1900-12-30,1900-12-30,NOT STARTED
21,2026,,Billing and Financial,Apartment August Rent Export/Send Rent Reminder,,,1900-12-30,1900-12-30,NOT STARTED
22,2026,,Billing and Financial,Apartment September Rent Export/Send Rent Reminder,,,1900-12-30,1900-12-30,NOT STARTED
23,2026,,Billing and Financial,Apartment October Rent Export/Send Rent Reminder,,,1900-12-30,1900-12-30,NOT STARTED
24,2026,,Billing and Financial,Apartment November Rent Export/Send Rent Reminder,,,1900-12-30,1900-12-30,NOT STARTED
25,2026,,Billing and Financial,Apartment December Rent Export/Send Rent Reminder,,,1900-12-30,1900-12-30,NOT STARTED
26,2026,,Billing and Financial,Spring Bill Export,,,1900-12-30,1900-12-30,NOT STARTED
27,2026,,Billing and Financial,Apartment January Rent Export/Send Rent Reminder,,,1900-12-30,1900-12-30,NOT STARTED
28,2026,,Billing and Financial,Apartment February Rent Export/Send Rent Reminder,,,1900-12-30,1900-12-30,NOT STARTED
